record_id,report_date,system_id,feeder_id,feeder_name,is_system_wide,saidi,saifi,caidi,maifi,customer_count,total_interruptions,total_momentary_interruptions,notes
R062,2023-12-03,SYS-ELPASO-12,ELPASO-078,Desert Sands,false,88.4,2.4,118.2,1.9,2060,39,11,"Desert Sands feeder, El Paso, elevated interruptions following summer heatwave."
R063,2022-04-09,SYS-ATLANTA-13,,,true,19.7,0.6,32.8,0.6,20900,32,4,"Atlanta-wide reliability metrics, improvements after grid modernization."
R064,2020-08-15,SYS-SPOKANE-14,SPOKANE-321,Riverfront East,false,154.2,1.2,128.7,,1100,38,0,"Riverfront East, Spokane, higher CAIDI due to remote location and winter storms."
R065,2021-01-04,SYS-CHATTANOOGA-15,,,true,61.5,1.2,52.1,1.2,30200,81,16,"Chattanooga system-wide, mild year with moderate momentary interruptions."
R066,2023-10-30,SYS-ALBUQUERQUE-16,ALBUQ-019,Mesa Central,false,41.6,0.7,59.4,2,950,13,4,"Mesa Central feeder, Albuquerque, above average MAIFI after wind event."
R067,2021-09-01,SYS-OMAHA-09,OMAHA-215,South Market,false,76.5,1.5,51.2,0.5,1500,28,3,"South Market feeder, Omaha, typical rural performance, minor outages."
R068,2022-07-21,SYS-CINCINNATI-17,,,true,99.7,1.8,56.4,1.5,57300,153,39,"System-wide Cincinnati metrics, higher interruptions from summer thunderstorms."
R069,2024-03-05,SYS-BIRMINGHAM-18,BIRMINGHAM-008,Downtown Loop,false,22.3,0.9,24.7,5.6,3800,17,39,"Downtown Loop feeder, Birmingham, high MAIFI due to repeated switching operations."
R070,2022-01-28,SYS-RALEIGH-19,RALEIGH-014,Capital East,false,63.5,1,62.8,,2600,21,,"Capital East feeder, Raleigh, moderate sustained interruptions, some missing momentary data."
R071,2023-04-17,SYS-MEMPHIS-20,,,true,71.2,1.6,46.9,0.8,48500,112,24,"Memphis system-wide metrics, typical performance after spring upgrades."
R072,2021-10-09,SYS-BALTIMORE-21,BALTIMORE-201,Inner Harbor West,false,17.9,0.7,25.5,1.3,1100,12,2,"Inner Harbor West, Baltimore, low interruptions, urban feeder."
R073,2024-04-08,SYS-MINNEAPOLIS-22,,,true,38.5,1,34.7,0.9,26400,43,9,"Minneapolis system-wide, annual report, minor improvements after smart grid rollout."
R074,2020-04-27,SYS-LASVEGAS-23,LASVEGAS-537,Paradise North,false,127.8,2.8,66.5,2.6,3700,39,10,"Paradise North feeder, Las Vegas, higher interruptions due to summer heat stress."
R075,2021-03-18,SYS-OKLAHOMA-24,,,true,12500,900,9999,10.5,94000,900,75,Extreme event: widespread tornado damage affecting Oklahoma system-wide metrics.
R076,2022-08-13,SYS-MILWAUKEE-25,MILWAUKEE-404,Bay View South,false,93.3,1.7,55.6,1.6,2700,32,6,"Bay View South feeder, Milwaukee, moderate performance, some outages from windstorm."
R077,2023-05-07,SYS-SAVANNAH-26,,,true,47.1,1.3,35.2,1.1,18800,23,7,"System-wide Savannah, low sustained interruptions, typical coastal weather impact."
R078,2022-12-25,SYS-BOULDER-27,BOULDER-042,Flatiron West,false,54.4,0.8,68.1,,1140,12,0,"Feeder Flatiron West, Boulder, low frequency but high duration outages, missing MAIFI."
R079,2021-08-11,SYS-TULSA-28,TULSA-233,Brookside Avenue,false,67.7,1.1,61.2,0.7,2050,21,2,"Brookside Avenue feeder, Tulsa, typical feeder performance, moderate interruptions."
R080,2023-09-21,SYS-ROCHESTER-29,,,true,63.9,1.4,45.1,1,37500,74,17,"Rochester system-wide, annual reliability metrics, moderate performance."
R081,2020-12-16,SYS-RENO-30,RENO-099,South Meadows,false,35.9,0.8,44.9,0.9,980,12,3,"South Meadows feeder, Reno, minor outages, mostly planned maintenance."
R082,2021-07-25,SYS-GREENVILLE-31,,,true,49.7,0.8,62.3,0.7,22000,39,8,"Greenville system-wide, average reliability metrics, minor weather events."
R083,2024-05-06,SYS-PITTSBURGH-32,,,true,31.8,1.1,28.8,0.5,16700,22,2,"Pittsburgh system-wide, improved reliability following automation upgrades."
R084,2020-07-15,SYS-LEXINGTON-33,LEXINGTON-044,Bluegrass West,false,52.3,0.9,56.2,1.6,1240,15,5,"Bluegrass West feeder, Lexington, interruptions due to tree-related faults."
R085,2022-11-01,SYS-HOUSTON-34,HOUSTON-119,Uptown West,false,18.6,0.7,26.9,8.2,4200,18,41,"Uptown West feeder, Houston, high momentary interruptions during hurricane season."
R086,2023-01-23,SYS-INDIANAPOLIS-35,,,true,73.2,1.3,56.7,1.2,30800,56,13,"Indianapolis annual summary, moderate interruptions and momentary events."
R087,2022-03-02,SYS-TOLEDO-36,,,true,0,0,,,0,0,,"Boundary test: system-wide Toledo, no customers or interruptions recorded."
R088,2021-02-14,SYS-AUSTIN-37,AUSTIN-217,Travis Heights,false,134.5,2,67.3,2.2,3100,33,9,"Travis Heights feeder, Austin, high interruptions during ice storm."
R089,2023-11-11,SYS-SACRAMENTO-38,,,true,41.2,0.9,39.5,0.6,14600,25,5,"Sacramento system-wide, annual metrics, no major events."
R090,2020-09-05,SYS-CHARLESTON-39,CHARLESTON-315,James Island,false,90.7,1.6,56.8,,1920,26,,"James Island feeder, Charleston, moderate performance, missing MAIFI and momentary data."
R091,2023-02-12,SYS-SYRACUSE-40,,,true,65.9,1.4,47.2,1.3,22100,43,9,"Syracuse system-wide, annual reliability metrics, moderate performance."
R092,2021-06-18,SYS-LITTLE ROCK-41,LITTLEROCK-009,River Market,false,50.1,0.8,63.2,1.1,1320,11,3,"River Market feeder, Little Rock, outages mainly from aging cable faults."
R093,2022-05-02,SYS-PHOENIX-42,,,true,72.4,1.5,48.5,1.1,41900,98,19,"Phoenix system-wide, annual reliability metrics, moderate interruptions."
R094,2023-08-29,SYS-TAMPA-43,TAMPA-084,Oldsmar Central,false,24.7,0.7,35.2,6.9,3700,14,33,"Oldsmar Central feeder, Tampa, many momentary interruptions due to switching errors."
R095,2021-04-13,SYS-STLOUIS-44,,,true,58.5,1.2,49.6,1,29000,52,11,"St. Louis system-wide, annual summary, typical metrics for Midwest region."
R096,2024-06-03,SYS-FORTWORTH-45,FORTWORTH-303,Stockyards North,false,15.8,0.6,26.3,7.5,4100,10,36,"Stockyards North feeder, Fort Worth, high momentary interruptions from weather-related switching."
R097,2022-10-03,SYS-MONTGOMERY-46,,,true,26.1,0.7,44.2,,8200,17,,"Montgomery system-wide, low interruptions, missing MAIFI and momentary data."
R098,2020-02-22,SYS-SANJOSE-47,SANJOSE-018,Almaden East,false,148.6,2.5,59.4,2.9,2700,35,10,"Almaden East feeder, San Jose, multiple sustained outages during winter storms."
R099,2022-03-26,SYS-RICHMOND-48,,,true,18.9,0.5,37.8,0.4,10800,16,2,"Richmond system-wide, low interruption rates, suburban performance."
R100,2024-05-29,SYS-NEWORLEANS-49,NEWORLEANS-005,French Quarter North,false,85.9,1.8,47.6,6.8,5000,31,43,"French Quarter North feeder, New Orleans, many momentary interruptions during spring storms."
R101,2022-03-18,SYS-COMPTON-11,,,true,45.2,1.49,30.7,1.5,18620,78,25,2022 reliability overview for Compton system-wide operations.
R102,2023-11-06,SYS-MOBILE-09,MOBILE-042,Mobile North Feeder,false,112.4,2.12,55.8,0.8,1360,28,6,Mobile North feeder subject to outage during spring storms in 2023.
R103,2024-05-02,SYS-BRICK-07,,,true,21.7,0.81,26.9,,32450,46,9,"Annual system-wide report for Brick utility, typical urban performance."
R104,2023-02-08,SYS-DOVER-10,,,true,12.9,0.64,20.2,1.1,27600,41,5,"Dover system-wide report, overall reliability improved after upgrades."
R105,2021-07-14,SYS-BLOOM-17,BLOOM-311,Bloomfield Rural Loop,false,328.7,1.01,108.4,,895,19,2,Bloomfield Rural Loop with higher interruption duration due to aging lines.
R106,2022-05-23,SYS-MONROE-06,MONROE-004,Monroe Main Feeder,false,88.5,1.72,51.4,2,2210,32,7,Monroe Main Feeder affected by transformer upgrades in May 2022.
R107,2020-10-20,SYS-ROSWELL-14,,,true,0,0,0,,0,0,,Boundary test case; no customers served in period.
R108,2021-08-05,SYS-TULSA-03,TULSA-201,Tulsa West Feeder,false,73.9,1.46,50.6,1.7,1890,27,8,Tulsa West Feeder; increased momentary interruptions in summer 2021.
R109,2023-06-19,SYS-ALTON-01,,,true,66.1,1.88,35.2,1.3,14550,94,31,Alton system-wide reliability report for 2023; improvements noted.
R110,2022-11-29,SYS-EDMOND-05,EDMOND-008,Edmond Industrial Feeder,false,189.2,2.61,72.4,,1565,39,4,Edmond Industrial Feeder saw increased outage frequency in Q4 2022.
R111,2024-04-16,SYS-DOUGLAS-13,,,true,58.8,1.22,48.1,,22800,84,18,Douglas system-wide reliability index for 2024; transformer upgrades completed.
R112,2021-01-11,SYS-GREEN-04,GREEN-125,Greenfield Rural East,false,230.5,1.11,96.2,2.6,1060,17,3,Greenfield Rural East experienced extended outages due to weather.
R113,2022-08-23,SYS-MACON-21,,,true,24.3,1.15,21.1,0.5,19340,53,11,Macon system-wide report; mostly minor interruptions during summer.
R114,2023-09-27,SYS-LAREDO-08,LAREDO-104,Laredo North Feeder,false,97.6,1.89,51.7,1.2,1700,23,6,Laredo North Feeder report; outage rates within expected range.
R115,2024-02-21,SYS-PARK-16,,,true,31.9,0.97,32.9,1.4,18870,62,13,Park system-wide reliability improvement in early 2024.
R116,2021-12-19,SYS-ALLEN-18,ALLEN-302,Allen North Feeder,false,59.3,1.35,44,1,1580,21,3,"Allen North Feeder reliability, typical urban performance."
R117,2022-09-03,SYS-WACO-12,,,true,18.2,0.53,34.6,1.6,31200,50,12,Waco system-wide outage summary for 2022.
R118,2021-04-27,SYS-PEARL-19,PEARL-114,Pearl South Feeder,false,181.8,2.12,85.7,,1340,29,4,"Pearl South Feeder rural outages, higher duration recorded."
R119,2020-12-12,SYS-MESA-02,,,true,0,0,0,,0,0,,Boundary test case; Mesa system had no customers in 2020.
R120,2023-03-11,SYS-ELGIN-15,ELGIN-223,Elgin Creek Feeder,false,62.7,1.41,44.5,1.9,1740,20,5,Elgin Creek experienced brief outages in March 2023.
R121,2022-10-07,SYS-CARSON-20,,,true,34.5,1.21,28.4,0.7,22480,64,17,Carson system-wide report; overall reliability within target.
R122,2024-06-07,SYS-BRYANT-22,BRYANT-138,Bryant Main Feeder,false,81.2,1.77,45.9,2.5,2015,25,8,Bryant Main Feeder reliability metrics following maintenance in June.
R123,2021-03-03,SYS-HILLS-23,,,true,53.1,1.02,52.1,0.8,15380,73,16,"Annual report for Hills system-wide, urban area."
R124,2022-11-02,SYS-MARLIN-24,MARLIN-219,Marlin West Feeder,false,165.6,2.39,69.3,,1575,33,5,Marlin West Feeder outage rates elevated in late 2022.
R125,2023-05-15,SYS-GROVE-25,,,true,89.3,1.69,53.2,1.2,23570,102,28,Grove system-wide metrics for Spring 2023; weather-related outages.
R126,2021-11-22,SYS-DELTA-26,DELTA-302,Delta North Feeder,false,134.8,1.58,85.3,1.6,1160,24,2,Delta North Feeder experienced higher than average outage duration.
R127,2022-06-01,SYS-COLLINS-27,,,true,11.6,0.35,33.1,1.1,16780,36,7,Collins system-wide metrics; low interruption rates.
R128,2024-01-30,SYS-HARVEY-28,HARVEY-210,Harvey East Feeder,false,93.4,1.25,72.9,,1420,20,4,"Harvey East Feeder reliability, upgrades scheduled for late 2024."
R129,2023-08-12,SYS-CLARK-29,,,true,60.7,1.45,41.9,1,21130,68,15,Clark system-wide performance; outages due to extreme heat.
R130,2020-08-16,SYS-OTTO-30,OTTO-019,Otto South Feeder,false,146.5,1.83,80,2.7,1270,23,5,Otto South Feeder affected by severe weather in Summer 2020.
R131,2021-09-25,SYS-PLANO-31,,,true,29.4,0.87,33.7,0.9,21240,58,12,Plano system-wide annual review; low outage frequency.
R132,2022-07-21,SYS-ROBIN-32,ROBIN-218,Robin Hill Feeder,false,58.1,1.43,40.6,1.5,1530,18,7,Robin Hill Feeder reliability index for summer 2022.
R133,2023-07-09,SYS-MARSH-33,,,true,67.8,1.91,35.5,1.7,20590,85,29,Marsh system-wide reliability metrics; summer storm impact.
R134,2021-10-13,SYS-FORD-34,FORD-133,Ford South Feeder,false,99.2,1.53,64.8,1.8,1380,21,6,Ford South Feeder reliability; outages due to equipment failure.
R135,2022-04-25,SYS-ARLINGTON-35,,,true,15.7,0.48,32.5,0.7,18950,38,8,Arlington system-wide report; improved reliability noted.
R136,2023-01-14,SYS-NELSON-36,NELSON-121,Nelson East Feeder,false,73.3,1.32,55.8,1,1620,18,3,Nelson East Feeder reliability metrics for winter.
R137,2024-03-19,SYS-TYLER-37,,,true,42.6,1.11,38.4,,17560,55,14,Tyler system-wide outage summary for Q1 2024.
R138,2021-02-23,SYS-KNOX-38,KNOX-127,Knox North Feeder,false,129.6,1.65,78.5,2.1,1290,21,4,Knox North Feeder winter outage and reliability assessment.
R139,2022-03-31,SYS-QUINCY-39,,,true,28.2,0.93,30.3,0.9,18380,47,10,"Quincy system-wide reliability, outages within expected range."
R140,2023-04-23,SYS-FAIRFAX-40,FAIRFAX-221,Fairfax Main Feeder,false,63.4,1.29,49.1,1.5,1810,22,7,Fairfax Main Feeder report; typical maintenance outages.
R141,2022-12-15,SYS-BRYCE-41,,,true,35,1.02,34.7,0.8,20620,61,12,Bryce system-wide reliability index; outage frequency typical.
R142,2024-05-28,SYS-EDISON-42,EDISON-141,Edison North Feeder,false,75.9,1.34,56.6,1.8,1480,20,6,Edison North Feeder reliability metrics for spring 2024.
R143,2021-05-17,SYS-LEWIS-43,,,true,13.8,0.46,30,1.1,19470,33,8,Lewis system-wide; reliability improvement from new infrastructure.
R144,2023-10-15,SYS-PRATT-44,PRATT-222,Pratt East Feeder,false,87.6,1.31,66.6,,1760,18,5,Pratt East Feeder report; typical maintenance in Q4 2023.
R145,2022-01-09,SYS-PORTER-45,,,true,0,0,0,,0,0,,Porter system boundary case; no customers or interruptions.
R146,2021-06-23,SYS-MILLER-46,MILLER-228,Miller South Feeder,false,120.4,1.78,67.6,1.9,1210,19,4,Miller South Feeder reliability; increased interruptions in June.
R147,2023-12-08,SYS-BAXTER-47,,,true,56.6,1.22,46.3,1.2,24150,79,22,Baxter system-wide reliability report for winter 2023.
R148,2020-04-12,SYS-FULTON-48,FULTON-053,Fulton Main Feeder,false,158.9,1.63,97.5,2.2,1100,21,5,Fulton Main Feeder reliability; outages due to equipment age.
R149,2022-02-02,SYS-MORGAN-49,,,true,17.5,0.51,34.2,1,17320,29,6,Morgan system-wide report; outages below average.
R150,2024-04-09,SYS-CLAY-50,CLAY-217,Clay North Feeder,false,74.2,1.54,48.6,1.5,1620,19,6,Clay North Feeder reliability metrics following transformer replacement.
R201,2022-09-14,SYS-TULSA-15,,,true,62.5,1.17,53.4,1.03,45800,110,19,Annual system-wide reliability report for Tulsa region utility.
R202,2023-11-02,SYS-ORLANDO-07,ORL-EAST-102,Eastside Main Feeder,false,45.2,1.41,32.1,0.82,2950,24,7,Storms in early October caused several sustained outages on Eastside.
R203,2024-03-25,SYS-BOSTON-21,,,true,70.8,1.83,39.7,1.22,80250,189,38,Major wind event impacted system performance; summary for Boston.
R204,2021-07-07,SYS-TOLEDO-11,TOL-NORTH-213,North Toledo Substation,false,182.6,2.11,86.3,0.47,1375,33,4,Aging infrastructure led to increased outage durations in North Toledo.
R205,2023-05-04,SYS-SACRAMENTO-22,,,true,0,0,0,0,0,0,0,Boundary test case for zero customers and zero interruptions.
R206,2020-08-13,SYS-MOBILE-09,MOB-IND-093,Industrial Corridor,false,422.1,1.38,92.7,2.43,812,29,8,Industrial corridor experienced outages during peak summer demand.
R207,2024-01-19,SYS-NEWARK-16,,,true,90.2,0.71,62.1,1.35,34100,66,14,Newark urban area system-wide reliability metrics for winter 2024.
R208,2023-06-22,SYS-OMAHA-04,OMA-SOUTH-047,South Omaha Line,false,72.4,2.02,36.8,9.27,2650,15,43,High momentary interruptions due to severe thunderstorms in June.
R209,2021-12-03,SYS-STPAUL-12,STP-WEST-058,Westside Rural Feeder,false,244.7,1.09,131.2,2.84,1120,21,6,Westside feeder in rural St. Paul area had extended outages this year.
R210,2022-03-11,SYS-ELPASO-26,,,true,37.6,0.93,41.2,,23450,54,7,"El Paso system-wide metrics: no major events, performance typical."
R211,2023-10-03,SYS-NASHVILLE-03,,,true,29.8,1.01,26.4,1.17,56700,41,9,Annual reliability report for Nashville main system.
R212,2020-07-29,SYS-ROCKFORD-18,ROC-DOWNTOWN-038,Downtown District,false,18.7,0.94,19.9,0,1850,12,0,"Downtown feeder performed well, only minor outages in July."
R213,2022-05-18,SYS-NEWORLEANS-19,,,true,83.9,1.68,49.9,0.85,91200,176,32,Hurricane season caused above-average interruptions in New Orleans.
R214,2023-02-08,SYS-BIRMINGHAM-10,BHM-SOUTH-005,Southside Urban Feed,false,22.6,1.05,21.5,,2875,10,2,Minimal outages for Southside Birmingham feeder throughout the year.
R215,2024-04-10,SYS-PHOENIX-28,,,true,97.6,1.29,75.3,1.39,99800,201,49,Phoenix system-wide: peak summer heat led to increased interruptions.
R216,2021-04-16,SYS-DESMOINES-14,DSM-WEST-009,West Branch Rural,false,356.9,1.36,113.2,2.68,1034,19,5,Extended rural outages on West Branch; infrastructure upgrades needed.
R217,2022-08-29,SYS-JACKSON-02,JACK-CENTRAL-021,Central City Feeder,false,57.4,1.87,30.7,1.02,2150,18,6,Central feeder had several outages during seasonal storms in Jackson.
R218,2022-06-13,SYS-PORTLAND-20,,,true,64.1,1.25,51.6,1.09,47800,112,13,Annual Portland system report; numbers within standard range.
